tanggal;kode;open_price;high_price;low_price;close_price;volume
2022-01-26;adro;750.4112366551187;757.1716982466063;736.8903134721437;747.031005859375;97679400
2022-01-27;adro;743.6507161458333;780.833251953125;740.2704856178977;780.833251953125;142280600
2022-01-28;adro;784.2134881270559;784.2134881270559;757.1716437088816;770.6925659179688;104574100
2022-01-31;adro;777.4531391688755;780.8333702087402;747.0310598100934;757.1717529296875;76748000
2022-02-02;adro;763.9321598380939;774.0728522253253;736.8903134721437;747.031005859375;100091000
2022-02-03;adro;747.0309632447389;757.171655053491;733.5100408330694;750.4111938476562;111391600
2022-02-04;adro;750.4111809686783;757.1716420584863;733.5100282441585;736.8902587890625;96179700
2022-02-07;adro;743.6507568359375;760.5519104003906;736.8902954101562;743.6507568359375;113939600
2022-02-08;adro;743.6507568359375;750.4112182617188;736.8902954101562;743.6507568359375;111772600
2022-02-09;adro;750.4112366551187;767.3123906338377;736.8903134721437;747.031005859375;199270200
2022-02-10;adro;743.6506822374132;753.7913733588325;726.7495303683811;730.1297607421875;114009500
2022-02-11;adro;730.1297185519873;743.650639265913;713.2285676595802;733.5099487304688;102593600
2022-02-14;adro;733.5101775438796;767.3124898730907;733.5101775438796;753.7915649414062;127682400
2022-02-15;adro;760.5518324406386;777.4529842726528;747.0309109750273;774.07275390625;137023900
2022-02-16;adro;777.4531391688755;777.4531391688755;757.1717529296875;757.1717529296875;70237000
2022-02-17;adro;753.7914244505737;760.5518856564084;736.8902714359868;750.4111938476562;140157700
2022-02-18;adro;743.6508287702287;770.6926770891462;740.2705977303641;757.1717529296875;84280000
2022-02-21;adro;763.9321162593258;763.9321162593258;743.6507326418215;750.4111938476562;86719000
2022-02-22;adro;753.7915649414062;763.9322586401696;736.8904087768008;753.7915649414062;91334200
2022-02-23;adro;767.3124076580178;794.3542546239393;757.1717150457973;784.2135620117188;140574200
2022-02-24;adro;794.35424066359;838.2972412109375;784.2135482295866;838.2972412109375;286836000
2022-02-25;adro;851.8179827008928;875.4795933314732;828.1563720703125;828.1563720703125;218034600
2022-03-01;adro;865.3390261627907;919.422715297965;845.0576427371002;872.0994873046875;357287400
2022-03-02;adro;909.2820177334022;926.1831704793763;861.958790044675;882.2401733398438;208447200
2022-03-04;adro;919.4228194387335;1030.9704409147564;905.9018956234581;1027.5902099609375;408953900
2022-03-07;adro;1064.772508409288;1105.335270634404;1041.110897111304;1095.194580078125;402645000
2022-03-08;adro;1085.0540337195764;1085.0540337195764;1027.5901129306892;1054.6319580078125;257703500
2022-03-09;adro;1054.6320071530033;1064.7726995294745;1000.5483144784903;1041.111083984375;187471500
2022-03-10;adro;1007.3086547851561;1037.730728251822;970.1261205481202;1007.3086547851562;236733800
2022-03-11;adro;973.50638671875;1044.4912274169922;973.50638671875;1014.0691528320312;121344700
2022-03-14;adro;1010.6888981207297;1020.829589406222;943.0842895507812;943.0842895507812;168857700
2022-03-15;adro;899.1412677835275;943.0842620737;895.7610374535143;916.0424194335938;223378600
2022-03-16;adro;912.662210667387;956.6052059958166;909.2819802575077;953.2249755859375;126976100
2022-03-17;adro;946.4645497120209;953.2250107813926;922.8029359692205;926.1831665039062;86651700
2022-03-18;adro;929.5632979449103;966.7458298627067;919.422607421875;919.422607421875;368469400
